,legislation_number,url,congress,title,sponsor,date_of_introduction,date_submitted,committees,latest_action,bill_status,party,month,year
2840,H.R. 1211,https://www.congress.gov/bill/117th-congress/house-bill/1211,117th Congress (2021-2022),American Values and Security in International Athletics Act,"Rep. McCaul, Michael T. [R-TX-10]",2021-02-23,,House - Foreign Affairs,Ordered to be Reported by Voice Vote.,introduced,Reupblican,February,2021
2841,H.R. 1210,https://www.congress.gov/bill/117th-congress/house-bill/1210,117th Congress (2021-2022),LEOSA Reform Act,"Rep. Bacon, Don [R-NE-2]",2021-02-23,,House - Judiciary,"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",introduced,Reupblican,February,2021
2842,H.R. 1203,https://www.congress.gov/bill/117th-congress/house-bill/1203,117th Congress (2021-2022),Iran Nuclear Verification Act,"Rep. McClain, Lisa C. [R-MI-10]",2021-02-22,,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,introduced,Reupblican,February,2021
2843,H.R. 1198,https://www.congress.gov/bill/117th-congress/house-bill/1198,117th Congress (2021-2022),END Child Exploitation Act,"Rep. Gonzalez, Anthony [R-OH-16]",2021-02-22,,House - Judiciary,"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",introduced,Reupblican,February,2021
2844,H.R. 1193,https://www.congress.gov/bill/117th-congress/house-bill/1193,117th Congress (2021-2022),Cardiovascular Advances in Research and Opportunities Legacy Act,"Rep. Barr, Andy [R-KY-6]",2021-02-22,,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions",Placed on Senate Legislative Calendar under General Orders. Calendar No. 443.,introduced,Reupblican,February,2021
2845,H.R. 1189,https://www.congress.gov/bill/117th-congress/house-bill/1189,117th Congress (2021-2022),Deepwater Port Parity Act,"Rep. Young, Don [R-AK-At Large]",2021-02-18,,House - Transportation and Infrastructure,Referred to the Subcommittee on Coast Guard and Maritime Transportation.,introduced,Reupblican,February,2021
2846,H.R. 1186,https://www.congress.gov/bill/117th-congress/house-bill/1186,117th Congress (2021-2022),Supply Chain Security and Pharmaceutical Authentication Act of 2021,"Rep. Van Drew, Jefferson [R-NJ-2]",2021-02-18,,House - Energy and Commerce,Referred to the Subcommittee on Health.,introduced,Reupblican,February,2021
2847,H.R. 1174,https://www.congress.gov/bill/117th-congress/house-bill/1174,117th Congress (2021-2022),FIR Act,"Rep. Rosendale Sr., Matthew M. [R-MT-At Large]",2021-02-18,,"House - Natural Resources, Agriculture",Referred to the Subcommittee on Conservation and Forestry.,introduced,Reupblican,February,2021
2848,H.R. 1173,https://www.congress.gov/bill/117th-congress/house-bill/1173,117th Congress (2021-2022),Taiwan Invasion Prevention Act,"Rep. Reschenthaler, Guy [R-PA-14]",2021-02-18,,"House - Foreign Affairs, Armed Services, Ways and Means","Referred to the Committee on Foreign Affairs, and in addition to the Committees on Armed Services, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,February,2021
2849,H.R. 1169,https://www.congress.gov/bill/117th-congress/house-bill/1169,117th Congress (2021-2022),Taiwan Voice Act,"Rep. Perry, Scott [R-PA-10]",2021-02-18,,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,introduced,Reupblican,February,2021
2850,H.R. 1168,https://www.congress.gov/bill/117th-congress/house-bill/1168,117th Congress (2021-2022),World Health Act,"Rep. Perry, Scott [R-PA-10]",2021-02-18,,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,introduced,Reupblican,February,2021
2851,H.R. 1166,https://www.congress.gov/bill/117th-congress/house-bill/1166,117th Congress (2021-2022),Retirement Freedom Act,"Rep. Palmer, Gary J. [R-AL-6]",2021-02-18,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,February,2021
2852,H.R. 1160,https://www.congress.gov/bill/117th-congress/house-bill/1160,117th Congress (2021-2022),INFLUENCE Act,"Rep. Murphy, Gregory [R-NC-3]",2021-02-18,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,February,2021
2853,H.R. 1156,https://www.congress.gov/bill/117th-congress/house-bill/1156,117th Congress (2021-2022),Facilitating DIGITAL Applications Act,"Rep. McKinley, David B. [R-WV-1]",2021-02-18,,"House - Natural Resources, Agriculture, Energy and Commerce",Referred to the Subcommittee on Conservation and Forestry.,introduced,Reupblican,February,2021
2854,H.R. 1150,https://www.congress.gov/bill/117th-congress/house-bill/1150,117th Congress (2021-2022),Modernizing America’s Apprenticeship Act,"Rep. Luetkemeyer, Blaine [R-MO-3]",2021-02-18,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,February,2021
2855,H.R. 1149,https://www.congress.gov/bill/117th-congress/house-bill/1149,117th Congress (2021-2022),Communities Overregulating Networks Need Economic Competition Today Act,"Rep. Long, Billy [R-MO-7]",2021-02-18,,House - Energy and Commerce,Referred to the Subcommittee on Communications and Technology.,introduced,Reupblican,February,2021
2856,H.R. 1148,https://www.congress.gov/bill/117th-congress/house-bill/1148,117th Congress (2021-2022),CABLE Leadership Act,"Rep. Long, Billy [R-MO-7]",2021-02-18,,House - Energy and Commerce,Referred to the Subcommittee on Communications and Technology.,introduced,Reupblican,February,2021
2857,H.R. 1147,https://www.congress.gov/bill/117th-congress/house-bill/1147,117th Congress (2021-2022),Veterans Right to Expediency Act,"Rep. Latta, Robert E. [R-OH-5]",2021-02-18,,House - Veterans' Affairs,Referred to the Subcommittee on Disability Assistance and Memorial Affairs.,introduced,Reupblican,February,2021
2858,H.R. 1146,https://www.congress.gov/bill/117th-congress/house-bill/1146,117th Congress (2021-2022),Community Reclamation Partnerships Act,"Rep. LaHood, Darin [R-IL-18]",2021-02-18,,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 215.",introduced,Reupblican,February,2021
2859,H.R. 1145,https://www.congress.gov/bill/117th-congress/house-bill/1145,117th Congress (2021-2022),"To direct the Secretary of State to develop a strategy to regain observer status for Taiwan in the World Health Organization, and for other purposes.","Rep. Kim, Young [R-CA-39]",2021-02-18,,House - Foreign Affairs,Ordered to be Reported in the Nature of a Substitute by Voice Vote.,introduced,Reupblican,February,2021
2860,H.R. 1141,https://www.congress.gov/bill/117th-congress/house-bill/1141,117th Congress (2021-2022),Broadband Competition and Efficient Deployment Act,"Rep. Joyce, John [R-PA-13]",2021-02-18,,"House - Energy and Commerce, Natural Resources",Referred to the Subcommittee on Environment and Climate Change.,introduced,Reupblican,February,2021
2861,H.R. 1138,https://www.congress.gov/bill/117th-congress/house-bill/1138,117th Congress (2021-2022),Preventing SBA Assistance from Going to China Act,"Rep. Jacobs, Chris [R-NY-27]",2021-02-18,,House - Small Business,Referred to the House Committee on Small Business.,introduced,Reupblican,February,2021
2862,H.R. 1137,https://www.congress.gov/bill/117th-congress/house-bill/1137,117th Congress (2021-2022),Opposing Business with Chinese Military Companies Act,"Rep. Jackson, Ronny [R-TX-13]",2021-02-18,,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,introduced,Reupblican,February,2021
2863,H.R. 1132,https://www.congress.gov/bill/117th-congress/house-bill/1132,117th Congress (2021-2022),Gun Owner Privacy Act,"Rep. Greene, Marjorie Taylor [R-GA-14]",2021-02-18,,House - Judiciary,"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",introduced,Reupblican,February,2021
2864,H.R. 1131,https://www.congress.gov/bill/117th-congress/house-bill/1131,117th Congress (2021-2022),China Technology Transfer Control Act of 2021,"Rep. Green, Mark E. [R-TN-7]",2021-02-18,,"House - Foreign Affairs, Ways and Means","Referred to the Committee on Foreign Affairs, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,February,2021
2865,H.R. 1130,https://www.congress.gov/bill/117th-congress/house-bill/1130,117th Congress (2021-2022),SOS ACT Act,"Rep. Green, Mark E. [R-TN-7]",2021-02-18,,"House - Financial Services, Foreign Affairs","Referred to the Committee on Financial Services, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,February,2021
2866,H.R. 1129,https://www.congress.gov/bill/117th-congress/house-bill/1129,117th Congress (2021-2022),Our Money in China Transparency Act,"Rep. Green, Mark E. [R-TN-7]",2021-02-18,,"House - Budget, Oversight and Reform","Referred to the Committee on the Budget, and in addition to the Committee on Oversight and Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,February,2021
2867,H.R. 1128,https://www.congress.gov/bill/117th-congress/house-bill/1128,117th Congress (2021-2022),"To allow expensing of amounts paid to move business property from China to the United States, and for other purposes.","Rep. Green, Mark E. [R-TN-7]",2021-02-18,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,February,2021
2868,H.R. 1127,https://www.congress.gov/bill/117th-congress/house-bill/1127,117th Congress (2021-2022),Stop Foreign Donations Affecting Our Elections Act,"Rep. Gosar, Paul A. [R-AZ-4]",2021-02-18,,House - House Administration,Referred to the House Committee on House Administration.,introduced,Reupblican,February,2021
2869,H.R. 1126,https://www.congress.gov/bill/117th-congress/house-bill/1126,117th Congress (2021-2022),Vieques Recovery and Redevelopment Act of 2021,"Resident Commissioner González-Colón, Jenniffer [R-PR-At Large]",2021-02-18,,"House - Natural Resources, Judiciary",Committee Hearings Held.,introduced,Reupblican,February,2021
2870,H.R. 1125,https://www.congress.gov/bill/117th-congress/house-bill/1125,117th Congress (2021-2022),To amend the VA MISSION Act of 2018 to expand the veterans healing veterans medical access and scholarship program to include more students and schools.,"Resident Commissioner González-Colón, Jenniffer [R-PR-At Large]",2021-02-18,,House - Veterans' Affairs,Referred to the Subcommittee on Health.,introduced,Reupblican,February,2021
2871,H.R. 1124,https://www.congress.gov/bill/117th-congress/house-bill/1124,117th Congress (2021-2022),Veterans Serving Veterans Act of 2021,"Resident Commissioner González-Colón, Jenniffer [R-PR-At Large]",2021-02-18,,House - Veterans' Affairs,Referred to the Subcommittee on Oversight and Investigations.,introduced,Reupblican,February,2021
2872,H.R. 1123,https://www.congress.gov/bill/117th-congress/house-bill/1123,117th Congress (2021-2022),Veteran Suicide Prevention Act,"Rep. Garbarino, Andrew R. [R-NY-2]",2021-02-18,,House - Veterans' Affairs,Referred to the Subcommittee on Health.,introduced,Reupblican,February,2021
2873,H.R. 1122,https://www.congress.gov/bill/117th-congress/house-bill/1122,117th Congress (2021-2022),Supporting Mexico Against Corruption Act,"Rep. Gallagher, Mike [R-WI-8]",2021-02-18,,"House - Foreign Affairs, Judiciary",Referred to the Subcommittee on Immigration and Citizenship.,introduced,Reupblican,February,2021
2874,H.R. 1121,https://www.congress.gov/bill/117th-congress/house-bill/1121,117th Congress (2021-2022),Empowering Immigration Courts Act,"Rep. Gallagher, Mike [R-WI-8]",2021-02-18,,House - Judiciary,Referred to the Subcommittee on Immigration and Citizenship.,introduced,Reupblican,February,2021
2875,H.R. 1120,https://www.congress.gov/bill/117th-congress/house-bill/1120,117th Congress (2021-2022),Illicit Arms Trafficking Security Enforcement Act,"Rep. Gallagher, Mike [R-WI-8]",2021-02-18,,House - Homeland Security,"Referred to the Subcommittee on Border Security, Facilitation, and Operations.",introduced,Reupblican,February,2021
2876,H.R. 1119,https://www.congress.gov/bill/117th-congress/house-bill/1119,117th Congress (2021-2022),Stopping Chinese Communist Involvement in the Power Grid Act,"Rep. Duncan, Jeff [R-SC-3]",2021-02-18,,"House - Energy and Commerce, Foreign Affairs, Oversight and Reform",Referred to the Subcommittee on Energy.,introduced,Reupblican,February,2021
2877,H.R. 1105,https://www.congress.gov/bill/117th-congress/house-bill/1105,117th Congress (2021-2022),Mandatory Minimum Sentence Reform Act,"Rep. Burgess, Michael C. [R-TX-26]",2021-02-18,,House - Judiciary,"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",introduced,Reupblican,February,2021
2878,H.R. 1104,https://www.congress.gov/bill/117th-congress/house-bill/1104,117th Congress (2021-2022),Equal Protection for American Workers Act,"Rep. Burgess, Michael C. [R-TX-26]",2021-02-18,,House - Judiciary,Referred to the Subcommittee on Immigration and Citizenship.,introduced,Reupblican,February,2021
2879,H.R. 1103,https://www.congress.gov/bill/117th-congress/house-bill/1103,117th Congress (2021-2022),CABLE Competition Act,"Rep. Burgess, Michael C. [R-TX-26]",2021-02-18,,House - Energy and Commerce,Referred to the Subcommittee on Communications and Technology.,introduced,Reupblican,February,2021
2880,H.R. 1102,https://www.congress.gov/bill/117th-congress/house-bill/1102,117th Congress (2021-2022),Easy Access to Mail Act,"Rep. Burchett, Tim [R-TN-2]",2021-02-18,,House - Oversight and Reform,Referred to the House Committee on Oversight and Reform.,introduced,Reupblican,February,2021
2881,H.R. 1101,https://www.congress.gov/bill/117th-congress/house-bill/1101,117th Congress (2021-2022),Protecting Reopening Businesses Recovering from COVID–19 Act,"Rep. Budd, Ted [R-NC-13]",2021-02-18,,House - Judiciary,"Referred to the Subcommittee on the Constitution, Civil Rights, and Civil Liberties.",introduced,Reupblican,February,2021
2882,H.R. 1100,https://www.congress.gov/bill/117th-congress/house-bill/1100,117th Congress (2021-2022),Online Accessibility Act,"Rep. Budd, Ted [R-NC-13]",2021-02-18,,House - Energy and Commerce,Referred to the Subcommittee on Consumer Protection and Commerce.,introduced,Reupblican,February,2021
2883,H.R. 1097,https://www.congress.gov/bill/117th-congress/house-bill/1097,117th Congress (2021-2022),Creating Hope and Opportunity through Increased Choice in Education Act,"Rep. Bishop, Dan [R-NC-9]",2021-02-18,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,February,2021
